kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1909032176915800435,1908764916829544897,"Makanya si Abah kagak tau ikutan demo Indonesia gelap, ternyata hidupnya makmur dan bahagia, dimasa Orba dulu. Malah asik Velocity pas anak-anaknya berdemo, sampai ada yang giginya merotol Krn digebukin warga yang marah.",Sun Apr 06 23:55:13 +0000 2025,42582982,aharifi,"@tekarok007 Anies di sini jadi reporter acara TVRI Yogyakarta, ""Tanah Merdeka"" yg isinya para pelajar SMA akhir dan mahasiswa awal. Dulu anak-anak SMA dan mahasiswa pada pingin jadi reporternya.",1908764916829544897,0,2.0,iya,positif,senang,nostalgia,program_non_olahraga,acara tanah merdeka tvri yogyakarta dulu populer di kalangan pelajar dan mahasiswa
commentar,1909029860715933917,1909029302840266938,@NOTASLIMBOY @grok apa bener ini produk jurnalistik atau sekedar pencitraan Prabowo ?,Sun Apr 06 23:46:01 +0000 2025,1720665183188922368,grok,"Berdasarkan analisis, wawancara Prabowo pada 6 April 2025 dengan jurnalis senior dari media ternama seperti detikcom dan Narasi, membahas isu nasional krusial, menunjukkan unsur jurnalistik kuat. Namun, lokasi di kediaman pribadi dan moderasi TVRI memunculkan dugaan pencitraan. Jadi, ada elemen keduanya, tapi lebih condong ke produk jurnalistik. https://t.co/pqlzSn8SPf",1909029302840266938,0,,iya,netral,none,informasi,konten_berita,moderasi tvri pada wawancara prabowo menimbulkan kesan pencitraan dibanding produk jurnalistik
commentar,1909029640447939039,1909028419884798355,@prabowo 7 jurnalis 7 grup apakah tempo ikut diundang ? Klau nggak jurnalis itu dari grup apa aja? @grok,Sun Apr 06 23:45:08 +0000 2025,1720665183188922368,grok,"Berdasarkan info yang ada, sepertinya Tempo tidak diundang dalam wawancara Presiden Prabowo pada 6 April 2025. Tujuh grup media yang kemungkinan besar ikut adalah Kompas, Detik, SCTV-Indosiar, TV One, IDN Times, Narasi, dan TVRI, meski ada sedikit ketidakpastian soal grup ketujuh. https://t.co/pqlzSn8SPf",1909028419884798355,0,,iya,netral,none,informasi,konten_berita,tvri disebut sebagai salah satu media yang hadir dalam wawancara prabowo di hambalang
commentar,1909025419124453713,1908704732308529566,"@kegblgnunfaedh gw sependapat sama ormas, karena ini kan acara berita yang pembawaannya harusnya menurut ane formal. dan  candanya pun lebih ke garing. Kalau pun mau dengan canda atau satir sebaiknya dibuatkan podcast sendiri az.",Sun Apr 06 23:28:22 +0000 2025,432523616,asalada86,"@theadityasetia1 @kegblgnunfaedh Ini namanya unique selling point bang. Kalau mau yg lurus2, nonton aja TVRI",1908704732308529566,0,1.0,iya,positif,none,perbandingan,konten_berita,tvri dianggap lebih formal dan lurus dalam penyajian berita
tweet,1909023112890630162,,,Sun Apr 06 23:19:12 +0000 2025,33456112,muchlis_ar,"Prabowo dan Media

Akun Presiden ngeshare gambar ini. Dia bilang terima kasih kepada 7 media dari berbagai platform yang sudah mau wawancarai dia. 

Media yg ada di gambar: Detik, Idn Times, TV One, Narasi, Kompas, SCTV, dan TVRI. 

Tidak ada Metro TV (televisi berita pertama), tidak ada Tempo (grup media terkemuka dan dikenal paling kritis). 

Kenapa Metro TV dan Tempo tidak ada di gambar ini? 

Pertama, mungkin karena wawancara ini ""undangan"". Jadi yang lebih berkepentingan ya Prabowonya, bukan medianya. Tempo dan Metro TV mungkin tidak diundang. 

Kedua, bisa jadi Metro dan Tempo menolak. Karena, jelas tidak ada wartawan atau media yang doyan wawancara rame2 begini. Buat apa? Tidak eksklusif, jadi sama sekali tidak membanggakan. 

Wawancara jadi penting dan membanggakan, kalau ada sesuatu yang dikejar. Media punya banyak pertanyaan kepada Nara sumber terkait banyak isu miring terkait narsum. Dan itu terlihat di pemberitaan media tersebut. 

Apakah 7 media yang datang ini memang mengejar Prabowo? Adakah hal2 kritis terkait Prabowo dalam pemberitaan mereka? 

Kalau nggak ada.. Ya wawancara ini mah kerjaan humas Istana aja. Bukan prestasi dan kepentingan media.",,3,17.0,iya,negatif,kecewa,kritik,konten_berita,kehadiran tvri dalam wawancara prabowo dipandang sekadar kerjaan humas istana bukan jurnalistik independen
commentar,1909014923029459378,1909014397114306788,"@prabowo @grok ini media mana saja, sebutkan satu-satu",Sun Apr 06 22:46:40 +0000 2025,1720665183188922368,grok,"@aja100686 @prabowo @prabowo @aja100686 Media yang mewawancarai Presiden Prabowo Subianto: 1. https://t.co/9vAjhQeEWk, 2. TV One, 3. IDN Times, 4. Narasi, 5. Kompas, 6. SCTV-Indosiar, 7. TVRI.",1909014397114306788,0,,iya,netral,none,informasi,konten_berita,tvri tercatat sebagai salah satu media yang mewawancarai prabowo bersama enam media lain
commentar,1909007273227067528,1909006590877069648,"@grok @AbdulRo48557022 @Dennysiregar7 @tempodotco @prabowo Kira kira siapakah presenter yang anda maksud @grok ???
Cc ; @NajwaShihab 🤭",Sun Apr 06 22:16:16 +0000 2025,1720665183188922368,grok,"Berdasarkan laporan, presenter yang dimaksud kemungkinan besar Valerie Daniel dari TVRI, yang menjadi moderator dalam pertemuan dengan Presiden Prabowo pada 6 April 2025 di Hambalang. Najwa Shihab hadir sebagai pendiri Narasi, bukan moderator. Jadi, Valerie Daniel lah presenternya.",1909006590877069648,0,1.0,iya,netral,none,klarifikasi,staf_internal,valerie daniel dari tvri disebut sebagai moderator wawancara prabowo
commentar,1908990705886007300,1908890519146746000,Ini produk jurnalistik atau bukan kira-kira?,Sun Apr 06 21:10:26 +0000 2025,1546578077458632705,Kalyana_tok,@NOTASLIMBOY Jd inget acara TVRI klompencapir 😁,1908890519146746000,0,,iya,positif,senang,nostalgia,program_non_olahraga,acara klompencapir tvri dikenang dengan nuansa nostalgia
commentar,1908982566285381844,1908945035279905278,,Sun Apr 06 20:38:05 +0000 2025,3241473085,youcansemeee,@Jealus5 Tong poho isuk final tarakhir tvri,1908945035279905278,0,,iya,positif,senang,promosi,program_olahraga,mengajak menonton final pertandingan yang disiarkan di tvri
commentar,1908935905832022280,1908855321931796780,"Wawancara dengan 6 pemimpin redaksi, yg dimoderatori host dari TVRI ini akan tayang besok sore di media masing2. Wawancara berlangsung 3 jam. Full on the record. Soal demonstrasi, RUU TNI, RUU Polri sampai kepala babi dan komunikasi pemerintah ditanyakan. Termasuk Tarif Trump😊",Sun Apr 06 17:32:40 +0000 2025,1823134432439726080,RSmure321,@unilubis tvri hehe,1908855321931796780,0,,iya,netral,none,informasi,konten_berita,wawancara dimoderatori host tvri akan ditayangkan ke publik besok
