kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1864872380784611662,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:19:57 +0000 2024,1552651817732911105,sucklifefff,"@neVerAl0nely padahal banyak bgt loh acara acara di TVRI, banyak yanh mendidik lagi",1864471223616573852,0,,iya,positif,senang,pujian,program_non_olahraga,memuji banyaknya acara tvri yang mendidik dan bervariasi
commentar,1864872288732221829,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:19:35 +0000 2024,1790538471632998400,Lindasary__,"@neVerAl0nely Kalo soal tayangan mendidik, TVRI juaranya. Daripada TV swasta yang isinya drama nggak jelas mulu, mending nonton TVRI.",1864471223616573852,0,,iya,positif,senang,perbandingan,program_non_olahraga,membandingkan tvri dengan tv swasta karena tayangannya lebih mendidik
commentar,1864872244020941201,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:19:25 +0000 2024,790594326543818752,beqxyy,"@neVerAl0nely TVRI butuh dukungan kita semua deh, isi siarannya banyak mendidik. dari pada tv swasta banyak sinetronnya dan pasti iklan juga.",1864471223616573852,0,,iya,positif,senang,dukungan,program_non_olahraga,menyatakan dukungan terhadap tayangan tvri yang mendidik dan minim iklan
commentar,1864872224395792867,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:19:20 +0000 2024,1649455176485576704,LThalius,@neVerAl0nely kalo sering nonton TVRI harusnya tau dong kalo acaranya tuh banyak konten edukasinya dan acara yang  menarik,1864471223616573852,0,,iya,positif,senang,pujian,program_non_olahraga,memuji konten edukatif dan acara menarik di tvri
commentar,1864872188370997618,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:19:12 +0000 2024,1551096317505867780,chxaaayang,@neVerAl0nely Kebanyakan yang komen jelek-jelekin TVRI ini gak pernah nonton acara nya kali ya padahal acara nya sangat mendidik ketimbang acara-acara sekarang yang cuman joget aja,1864471223616573852,0,,iya,positif,kesal,kritik,program_non_olahraga,mengkritik orang yang meremehkan tvri padahal acaranya lebih mendidik dibanding acara joget di tv lain
commentar,1864872067881144819,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:18:43 +0000 2024,2885659938,salsabessarakec,@neVerAl0nely Hah kok malah jelekin TVRI? Padahal TV yang terbaik hanya cuma TVRI apalagi channelnya yang sport paling keren,1864471223616573852,0,,iya,positif,senang,pujian,"program_olahraga,program_non_olahraga",memuji tvri sebagai tv terbaik terutama channel sport yang keren
commentar,1864872042396614769,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:18:37 +0000 2024,1762523623129292800,everheeday,"@neVerAl0nely Bayangin, anggaran TVRI dipotong lebih dari 40 miliar, tapi masih bisa kasih tayangan mendidik buat 34 provinsi. Salut banget sama TVRI!",1864471223616573852,0,,iya,positif,bangga,pujian,program_non_olahraga,mengapresiasi tvri karena tetap menayangkan konten edukatif meski anggaran dipotong
commentar,1864871986100604967,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:18:23 +0000 2024,1653759482,erwin_sakri007,@neVerAl0nely Satu hal yang saya suka dari TVRI: gak terlalu banyak iklan dan lebih fokus sama kontennya. Itu nilai plus banget.,1864471223616573852,0,,iya,positif,senang,pujian,"iklan,program_non_olahraga",memuji tvri karena minim iklan dan fokus pada isi konten
commentar,1864871967524032865,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:18:19 +0000 2024,1645468425328934912,latinaeleonoraa,@neVerAl0nely menurut gw sih TVRI acaranya udah bermutu kok mana bervariasi pula,1864471223616573852,0,,iya,positif,senang,pujian,program_non_olahraga,menilai acara tvri sudah bermutu dan bervariasi
commentar,1864871887089865126,1864471223616573852,"Petinggi TVRI kena semprot di rapat dewan 

Menyerap anggaran yg besar namun program2 acara dan konten2nya kurang bermutu dan minim penonton https://t.co/sYd9fMgTel",Fri Dec 06 03:18:00 +0000 2024,1397113799107170307,kissegs,@neVerAl0nely hah demi apa jelekin TVRI?? dari sekian banyak channel tv sekarang cuma TVRI yang menurutku bermutu apalagi channel sportnya paling seruh,1864471223616573852,0,,iya,positif,marah,kritik,"program_olahraga,program_non_olahraga",menentang kritik terhadap tvri dan menilai tayangan sportnya paling seru
