kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1889622707005743479,1889618814104424595,TVRI Sport nyiarin sepak bola lagi 🙃,Wed Feb 12 10:28:55 +0000 2025,65842114,hariii____,"@dly_volleyball udah paling bener sama Moji, ini segala #tvri ga jelas",1889618814104424595,0,,iya,negatif,kesal,kritik,program_olahraga,tvri sport dikritik karena menayangkan sepak bola dianggap tidak jelas
commentar,1885967396353327405,1885956606371959050,"@ojifahrurozi @TVRINasional Ngga perlu lah,lagian tim korea di treat kaya tim lokal",Sun Feb 02 08:24:01 +0000 2025,837549520661553152,edy_pranta,"@Rahim_souza @ojifahrurozi @TVRINasional Daripada liga tarkam di siarkan 🤣, selamat datang kembali ke habitat aslinya TVRI, yg semakin di tinggalkan oleh masyarakat",1885956606371959050,0,,iya,negatif,kesal,kritik,"program_olahraga,citra_dan_audiens",tvri nasional dikritik karena menayangkan liga tarkam dianggap membuatnya ditinggalkan masyarakat
commentar,1890300023772180772,1889917202020884743,"Soroti Isu PHK di TVRI dan RRI, Legislator: Lebih Bijaksana Potong Gaji Pimpinan

Nah...!👍🤭 https://t.co/1feCO6W4ZA",Fri Feb 14 07:20:20 +0000 2025,1761745937586966528,jiw_han,"@marlina_idha Kalo gw pimpinan TVRI akan bilang gini, "" setuju pak pimpinan dipotong gaji nya, asal semua anggota DPR jg dipotong gaji dan tunjangannya"". 
Gw yakin anggota DPR itu langsung diem.",1889917202020884743,0,,iya,negatif,kesal,kritik,kebijakan_lembaga,kritik diarahkan pada pimpinan tvri terkait isu phk dan gaji pimpinan
komentar,1887839090269368472,1887838995620749643,"epala Kantor Wilayah Direktorat Jenderal Pemasyarakatan Sumatera Barat Mengikuti Kegiatan ""SENAM BADUNSANAK"" Pimpinan Instansi Vertikal dan BUMN Sumatera Barat
Kegiatan yang berlangsung di kantor TVRI Sumatera Barat, Jumat (7/2/2025) dimulai pada pukul 07.00 WIB yang diawali https://t.co/KrxmTDABXk",Fri Feb 07 12:21:28 +0000 2025,1270925770148335616,RutanManinjau,"dengan registrasi peserta dan dilanjutkan dengan senam yang berlangsung selama 30 menit dan dihadiri Gubernur Sumatera Barat serta Pimpinan Instansi Vertikal dan BUMN Sumatera Barat.
Kepala TVRI Sumatera Barat, Tubagus Yusuf, sebagai Ketua Pelaksana menyampaikan kegiatan",,0,1.0,iya,netral,none,informasi,staf_internal,kepala tvri sumbar disebut sebagai ketua pelaksana kegiatan senam badunsanak
komentar,1887777230774018156,1887777194627219747,"Karantina Sumbar Hadiri  Senam Bersama dengan Pimpinan Instansi Vertikal di TVRI Sumbar

Padang (7/2) – Dalam rangka mempererat tali silaturahmi dan kebersamaan, Karantina Sumatera Barat hadir  dalam acara senam bersama dengan pimpinan Instansi Vertikal di Sumatera Barat. https://t.co/eCuYhLPzLe",Fri Feb 07 08:15:39 +0000 2025,732768730569019394,KarantinaSumbar,"Kegiatan yang bertema ""Menjalin Keakraban, Kebersamaan, dan Paguyuban melalui Senam dan Sarapan Bersama"" ini digelar di halaman depan Gedung TVRI Sumatera Barat, Padang, dan dihadiri langsung oleh Gubernur Sumatera Barat serta Kapolda Sumatera Barat. https://t.co/ttPBbQ3fTR",,0,,iya,netral,none,informasi,staf_internal,gedung tvri sumbar digunakan untuk acara senam bersama yang dihadiri pejabat daerah
komentar,1889710774379225130,1889544433999487113,"Aleg PKB @evamonalisaa Desak Pemerintah Pastikan Kesejahteraan Kontributor TVRI dan RRI

“Kami meminta agar hak-hak kontributor tetap terjamin. Ada kepastian kompensasi yang layak bagi kontributor yang terkena PHK baik dalam bentuk pesangon, program bantuan, atau peluang kerja di sektor lain,” #SuaraPKB https://t.co/vwlJvfud8R",Wed Feb 12 16:18:52 +0000 2025,1904740170,Papay_96,"@DPP_PKB @evamonalisaa TVRI dan RRI adalah bagian penting dr berdirinya Republik ini, terus upgrade agar tidak ketinggalan dg TV dan radio swasta",,60,100.0,iya,positif,bangga,saran,"citra_dan_audiens,kebijakan_lembaga",tvri disebut bagian penting sejarah republik dan diminta terus upgrade agar tidak tertinggal
tweet,1889110068857368605,,,Tue Feb 11 00:31:53 +0000 2025,103850922,rajamatoa,"doa terbaik untuk teman-teman TVRI dan RRI di daerah yg terkena PHK.
Allah pasti akan memberikan ganti yang terbaik.
Aamiin",,0,,iya,positif,senang,dukungan,staf_internal,doa ditujukan bagi pegawai tvri di daerah yang terkena phk
commentar,1888980366637342938,1888591590027088136,"Kenapa yang jadi korban pemangkasan anggaran malah ASN2 &amp; karyawan  kelas bawah?

Sedangkan para menteri dan anggota DPR santai2 aja mereka

Ini👇 karyawan TVRI Yogya yg dirumahkan akibat pemangkasan anggaran https://t.co/JaMer1TNIV",Mon Feb 10 15:56:29 +0000 2025,2324388421,SinggihPrasetyo,@MurtadhaOne1 Bro dengan ikhtiar dan tawakal yang tepat. Rejeki ra mung seko TVRI tapi sing maringi Gusti... semangat Bro,1888591590027088136,0,,iya,positif,senang,dukungan,staf_internal,dukungan diberikan kepada pegawai tvri yogyakarta yang dirumahkan akibat pemangkasan anggaran
commentar,1888596817786372263,1888577867845644492,"Tahukah kamu? TVRI sudah mengudara sejak 1962, lho!

#SejarahTVRI  #TelevisiDanRadio #NewEngineofGrowth #EkonomiKreatif #Ekraf #EkonomiKreatifBangkit #TeukuRiefky #IreneUmar https://t.co/VhTYe3xucA",Sun Feb 09 14:32:24 +0000 2025,1356137458690187267,NadiaRatnasar11,@ekraf_ri Tahukah kamu? TVRI harus bangkit untuk bersaing,1888577867845644492,0,1.0,iya,positif,senang,saran,citra_dan_audiens,tvri disarankan bangkit agar mampu bersaing dengan media lain
commentar,1888081480259076156,1888081031372341457,"@baihaki_ahmad @celebesid_ @Seph_Bimo Makin kocak dong, iuran TVRI disamain sama Netflix 😄. Emang pernah di Netflix lagi nonton Drakor tiba2 disela sama liputan kegiatan sehari2 Presiden yg durasinya hampir 2-3 jam? Iklan youtube aja paling lama 2-3 menit. Bocil ngaku tua ini mah.",Sat Feb 08 04:24:38 +0000 2025,996458382876803072,celebesid_,"@allandbagus @baihaki_ahmad @Seph_Bimo emang dulu ada drakor ? mana ada bagus drakor dulu ... wkwkwk oshin itu di tvri , kalian nonton piala dunia juga di tvri . dgn cuma iuaran kalian bisa nonton itu . dasar memang mental miskin",1888081031372341457,0,,iya,negatif,kesal,nostalgia,"program_non_olahraga,program_olahraga",tvri dikenang menayangkan drama oshin dan piala dunia dengan sistem iuran murah
komentar,1887744602830196966,1887650113985912939,"Kemarin denger dari bapak.

Pegawai TVRI yg non-ASN pada kena cut off karena terimbas efisiensi anggaran. Kayak wartawan, penyiar, staff honorer dll Level bawah lagi yg kena.

🥲
Ini pemerintah ki mikir e pye to? 🙃",Fri Feb 07 06:06:00 +0000 2025,70691947,marai_wareg,"@Iucreciamh WOALAAAA

Cuma mau bilang

S E M A N G A T!",,0,3.0,iya,positif,senang,dukungan,staf_internal,dukungan semangat diberikan pada pegawai non asn tvri yang terkena cut off
commentar,1886415874984165707,1886383093566804334,,Mon Feb 03 14:06:07 +0000 2025,279531606,HerumawanPA,"@desjanfebmarc25 @webeeu Tayang di TVRI akhir 80'an smp awal 90'an.
Ensingnya agak sedih klo gak salah ingat, patnernya meninggal.

Klo Mac Gyver itu di RCTI hampir barengan sama The A Team &amp; Knight Rider. Saat itu tivi rumah msh hitam putih, buat nangkap siaran tivi swasta hrs pake decoder &amp; antena UHF.",1886383093566804334,0,,iya,positif,senang,nostalgia,program_non_olahraga,tvri dikenang menayangkan serial asing pada akhir 80an hingga awal 90an
commentar,1886380942769758304,1886369684154634254,Kamu tau kata Hunter dari mana dan kapan bestie?,Mon Feb 03 11:47:18 +0000 2025,279531606,HerumawanPA,"@webeeu Hunter, saya kenal wkt masih SD awal 90'an jadi judul serial detektif Polisi sekaligus nama tokoh utamanya, disiarkan di TVRI saat itu.

Hunter jg serial animasi Jepang favorit saya di TV 7 (sekarang Trans 7) thn 2000""an: Hunter X Hunter.",1886369684154634254,0,,iya,positif,senang,nostalgia,program_non_olahraga,tvri dikenang menayangkan serial detektif hunter pada awal 90an
