kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1876050120325857679,1875834694484279696,💚 sekarang lagi musim stasiun TV bangkrut KAHHH?? agak nyesek ya liat pertelevisian sekarang 😭 https://t.co/4EsCaNnxlY,Sun Jan 05 23:36:18 +0000 2025,228573286,MargonoWijoyo,"@tanyarlfes Eranya sudah berganti, studio TV konvensional terdisrupsi oleh teknologi. Masyarakat banyak alternatif hiburan tontonan, ada Youtube, Netflix, dll.
Sebentar lagi TVRI kalau tidak berubah pasti akan ditelan jaman.
TV swasta nasional isinya juga recehan, kalah sama tv tetangga",1875834694484279696,0,3.0,iya,negatif,kecewa,kritik,citra_dan_audiens,tvri dikritik karena dianggap tidak beradaptasi dengan era digital dan bisa ditelan jaman
retweet,1876047988826784209,1875834694484279696,💚 sekarang lagi musim stasiun TV bangkrut KAHHH?? agak nyesek ya liat pertelevisian sekarang 😭 https://t.co/4EsCaNnxlY,Sun Jan 05 23:27:50 +0000 2025,1684821889859158022,dipowizard,"makanya ditonton. ngedewain yutub semua si.

giliran ""ah isinya sinet semua"" ya jangan patokannya escetepe ercetei jir, kan tvri (misalnya) masih ada? trans tuju masih ada?",,0,,iya,positif,senang,dukungan,program_non_olahraga,penulis mendukung tvri sebagai alternatif tontonan dibanding sinetron stasiun swasta
commentar,1876029995086405754,1875834694484279696,💚 sekarang lagi musim stasiun TV bangkrut KAHHH?? agak nyesek ya liat pertelevisian sekarang 😭 https://t.co/4EsCaNnxlY,Sun Jan 05 22:16:20 +0000 2025,1563119420373110785,vaga123459,@tanyarlfes Menyala TVRI 🔥 dari 1962 sampai sekarang akhirnya hanya TVRI lah yang akan bertahan karena BUMN,1875834694484279696,0,,iya,positif,bangga,dukungan,kebijakan_lembaga,tvri dipuji karena status bumn dianggap menjamin keberlangsungan siaran
commentar,1876017168779030620,1875836991843213575,"Kalo benar Shin Tae-yong diganti saat timnas Indonesia banyak menorehkan sejarah malah punya harapan lolos piala dunia, saya teringat ketika KPK berprestasi malah dilemahkan Undang-undangnya, dikirim pimpinan yang amburadul dibawah Firli, alasannya memperkuat KPK, hasilnya zonk https://t.co/zxDnuz1C5s",Sun Jan 05 21:25:22 +0000 2025,88881918,WidyaWurianto,@yudiharahap46 Tvri,1875836991843213575,0,,iya,netral,none,informasi,general,hanya menyebut tvri tanpa konteks aspek tertentu
retweet,1876011645190975682,1875834694484279696,💚 sekarang lagi musim stasiun TV bangkrut KAHHH?? agak nyesek ya liat pertelevisian sekarang 😭 https://t.co/4EsCaNnxlY,Sun Jan 05 21:03:25 +0000 2025,1138474403199627266,11O516,"antv gaada yang bisa ditonton... orang rumah juga kalo nonton tv either moji, tvri sport, indosiar (liga only), chanel berita, atau chanel yg ada film barat bagus (trans)",,0,,iya,netral,none,informasi,"program_olahraga,program_non_olahraga",tvri sport dan program umum disebut sebagai pilihan tontonan keluarga
commentar,1875999995813601312,1875834694484279696,💚 sekarang lagi musim stasiun TV bangkrut KAHHH?? agak nyesek ya liat pertelevisian sekarang 😭 https://t.co/4EsCaNnxlY,Sun Jan 05 20:17:08 +0000 2025,733288011744477184,yoni_djatmiko,"@tanyarlfes Hanya TVRI yg nggak bangkrut, meskipun ya gitu deh",1875834694484279696,0,,iya,negatif,kesal,kritik,citra_dan_audiens,tvri dianggap tidak bangkrut tapi dinilai kurang menarik
retweet,1875972328552804632,1875836991843213575,"Kalo benar Shin Tae-yong diganti saat timnas Indonesia banyak menorehkan sejarah malah punya harapan lolos piala dunia, saya teringat ketika KPK berprestasi malah dilemahkan Undang-undangnya, dikirim pimpinan yang amburadul dibawah Firli, alasannya memperkuat KPK, hasilnya zonk https://t.co/zxDnuz1C5s",Sun Jan 05 18:27:11 +0000 2025,250547024,ieumad,hmm… apakah benul? soalnya TVRI juga begitu,,0,,iya,negatif,kecewa,kritik,citra_dan_audiens,tvri dikritik karena kondisinya dianggap sama bermasalah dengan lembaga lain
commentar,1875911135817498981,1875326548942925923,,Sun Jan 05 14:24:02 +0000 2025,1565985151246802945,AniesBigFans,"@Alauzr_ Paling suka nonton tv acara TVRI kelompencapir Beliau sangat dekat dengan rakyat Suka aja liat beliau berbicara di tv Dulu dikasi nyokap uang limper (lima perak) masih bisa buat jajan Semua serba murah Kt nyokap emas 2,5 gr cuma 2500 perak",1875326548942925923,0,2.0,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia acara kelompencapir tvri yang menampilkan kedekatan dengan rakyat
commentar,1875910470584144249,1875757813252882585,,Sun Jan 05 14:21:23 +0000 2025,1671756015057137665,AkunB67645,"@cegekayia @Alauzr_ Zaman dulu hanya ada TVRI, kak. 😂",1875757813252882585,0,,iya,positif,humor,nostalgia,program_non_olahraga,nostalgia masa ketika hanya ada tvri sebagai satu-satunya saluran
commentar,1875897635623878868,1875852794110038103,"7 maret, ngambil nyasar ke sini?
Yeet! https://t.co/NQsIBxQowN",Sun Jan 05 13:30:23 +0000 2025,1075090106770309121,theluckiestboy,@memefess tvri berbenah skrg,1875852794110038103,0,,iya,positif,senang,informasi,citra_dan_audiens,tvri disebut sedang berbenah untuk memperbaiki citra
