kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
tweet,1897616974307643435,,,Thu Mar 06 11:55:17 +0000 2025,1732000453041528832,YoRio_Rio,"TVRI SUMUT, anggaran adzan magribnya kena efisiensi 🤣🤣",,0,,iya,negatif,humor,sarkas,kebijakan_lembaga,menyindir efisiensi anggaran tvri sumut pada adzan magrib
commentar,1897599712389443761,1897545002575937727,"Tahukah kamu kisah Ashabul Kahfi (QS:18) yang tidur 309 tahun di gua? Ternyata, ini versi Islam dari legenda zaman kuno ""Seven Sleepers"" 🕵️♂️ Legenda ini udah ada sejak abad ke-5, ditulis dalam 200+ manuskrip kuno. Bayangin, dari Kekaisaran Romawi sampe Quran, mereka jadi superstar tidur panjang.

(Sebuah Utas)",Thu Mar 06 10:46:41 +0000 2025,98335474,YACKT_,@Asura0599 Dulu sering ditayangkan filmnya tentang ini di TVRI pas sahur² gatau kalo sekarang,1897545002575937727,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia film oshin yang pernah tayang di tvri saat sahur
commentar,1897502467493126481,1897500971154202942,Kangen Jawa Timur yang kiri. https://t.co/tdEcUShtPz,Thu Mar 06 04:20:16 +0000 2025,1058269575488299009,RumahGudeg,"@Dandhy_Laksono Tvri soroboyo, ono acara ludruk, pariakane enak. Nontone nang nggone tonggo sing duwe tv terbatas nggelar tiker soko dong pandan.",1897500971154202942,0,7.0,iya,positif,senang,nostalgia,program_non_olahraga,mengenang acara ludruk di tvri surabaya yang ditonton bersama tetangga
tweet,1897479876984365134,,,Thu Mar 06 02:50:30 +0000 2025,1749698965539553280,regar_op0sisi,"Cuma setahun kepake sama GusDur.

TVRI 2001. https://t.co/5raE8lQ64f",,1,3.0,iya,netral,none,informasi,kebijakan_lembaga,menyebut periode singkat tvri di bawah gusdur pada 2001
commentar,1897035172228600129,1896411142983225670,"Swasana kelas, generasi era 80-90'an. Blm ada yg berhijab https://t.co/545k0JvZg4",Tue Mar 04 21:23:24 +0000 2025,1254895166122418177,nomerorae,@yudiwibowo976 Jaman dulu tdk berhijab tp medsos cuma TVRI jd akses keluar terbatas. Skrg (alhamdulillah) byk berhijab tp akses ke medsos tanpa batas🤦‍♀️jd bertolak blkg kelakuan dan penampilan😢.miris,1896411142983225670,0,1.0,iya,negatif,sedih,nostalgia,citra_dan_audiens,nostalgia masa akses terbatas hanya tvri dikaitkan dengan kondisi sosial
commentar,1896756466314625156,1896740298140930502,"@Alengk4tasek @Pads18072624 @dbuaya Klo itu yg dipenjara alm Jojon bang, bukan kirun. https://t.co/itI2RPYtvM",Tue Mar 04 02:55:56 +0000 2025,1763449454269784064,Alengk4tasek,"@123mauwin_ @Pads18072624 @dbuaya Sama aja bro, kirun itu ditangkap pas manggung di TVRI Surabaya, yg nangkap TNI. Jojon juga sama ditangkap, beda kasus dan tempat",1896740298140930502,0,7.0,iya,netral,none,informasi,program_non_olahraga,memberi informasi tentang kirun dan jojon yang tampil di tvri surabaya
commentar,1896629672060031121,1896629584596181182,"Perbedaan hidup tahun 90an dan skrg :

- Masyarakat tahun 90 an tidak menyibukkan diri ngurusin politik. Semua orang sibuk bekerja, bersekolah dan berkarya. Bisa jadi karena politik isu yang sangat sensitif saat itu.",Mon Mar 03 18:32:06 +0000 2025,1743270067306217472,bertahan1CINTA,"- Hampir tidak ada berita negatif di TV. Mungkin inilah alasan mengapa jawaban no.1 terjadi. Dan saat itu, semua stasiun TV dimalam hari serempak menyiarkan Dunia Dalam Berita-nya TVRI. Jadi gak ada tuh stasiun TV yang cenderung memihak",1896629584596181182,0,,iya,positif,senang,nostalgia,konten_berita,nostalgia dunia dalam berita tvri yang disiarkan serempak semua stasiun
commentar,1896570234246746144,1896507280713277679,Masa kecilku... https://t.co/ZVC2uGbxQJ,Mon Mar 03 14:35:55 +0000 2025,1209644431,dwyt_farm,@maman1965 Jmn tv masih tabng hitam putih dn cuma TVRI doank kita cuma bisa nonton di jam dn acara tertentu di rumah yg punya tv😁,1896507280713277679,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia masa tv hitam putih hanya bisa menonton acara tertentu di tvri
tweet,1896412015385780436,,,Mon Mar 03 04:07:12 +0000 2025,1274929087518138368,Olahbolacom,"Siang nanti skuad Madura United akan terbang ke Taiwan. Mereka akan menantang Tainan City di perempat final AFC Challenge League, 6 Maret nanti. 

Dukung Madura United ya Sob! Bagaimanapun mereka membawa nama Indonesia. Laga akan disiarkan di TVRI 🇮🇩

#MaduraUnited #AFC #Liga1 https://t.co/MhrhIjL1kO",,0,5.0,iya,positif,bangga,promosi,program_olahraga,mempromosikan laga madura united vs tainan city yang disiarkan di tvri
tweet,1896390015070183624,,,Mon Mar 03 02:39:47 +0000 2025,1448843049719648266,ibnoekapok,"DENDAM_(1994) 
Komik tahun 1994-1997 ini terinspirasi dari film2 masa sekolah yang pernah saya tonton di TVRI dan RCTI #komik #jakarta
#keretaapi #webtoons #WEBTOON #Rekomendasi
https://t.co/EQ4Mdf2Iq4",,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia film sekolah di tvri yang menginspirasi komik dendam 1994
commentar,1896379390466134341,1896149383370158361,@MariaAlkaff_ Why...that song was famous when I was a teenager🙄,Mon Mar 03 01:57:34 +0000 2025,77654478,MariaAlkaff_,"@arzanchairi Karena Daniel dilahirkan oleh orangtua Indonesia. Lalu dibawa merantau ke Belanda, akhirnya jadi warga negara Belanda. 
Pas lagu ini hits, Daniel diundang TVRI untuk ditayangkan . 
Saya juga nonton waktu disiarkan di TVRI, 1981",1896149383370158361,0,1.0,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia penampilan lagu populer oleh daniel yang disiarkan di tvri tahun 1981
retweet,1896307703338930264,1896015942972330457,"Officers in England are going into peoples homes to make sure they have licenses to watch TV

Man in England has just been notified an officer is coming to his home to do a check

“Why are you being visited? To ensure you have a f*cking TV licence and this includes Amazon. You need a f*cking license to watch TV. — You can't even watch Netflix on your laptop without needing a license”

(United Kingdom: You need a TV Licence (£169.50/year) to watch or record live TV on any channel (BBC, ITV, etc.) or use BBC iPlayer for anything, live or on-demand  — fines up to £1,000 if caught)",Sun Mar 02 21:12:42 +0000 2025,636723,kuswanto,Haha iuran TVRI 😂,,0,,iya,negatif,humor,sarkas,kebijakan_lembaga,menyindir sistem iuran tvri dengan nada bercanda
commentar,1896195424983396430,1896075436062638197,"Indo tuh pernah sante.
Angkatan gue tumbuh besar nonton Tessy di Ketoprak Humor, Aming di Extravaganza, Bunda Dorce di Dorce Show, dan Tata Dado di Lenong Rumpi sebelum haluan warga jadi nganu 😆👍

Nganu tapi maju mah mendingan. Ini udahlah nganu, tambah ngaco, plus neo orba.",Sun Mar 02 13:46:33 +0000 2025,2344578475,puguh_imanto,"@livngn Debut Dorce itu di Fantastic Doll, bisa show di TVRI saat siaran tahun baru.",1896075436062638197,0,14.0,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia debut bunda dorce di fantastic doll tvri tahun baru
retweet,1896166601432662340,1896075436062638197,"Indo tuh pernah sante.
Angkatan gue tumbuh besar nonton Tessy di Ketoprak Humor, Aming di Extravaganza, Bunda Dorce di Dorce Show, dan Tata Dado di Lenong Rumpi sebelum haluan warga jadi nganu 😆👍

Nganu tapi maju mah mendingan. Ini udahlah nganu, tambah ngaco, plus neo orba.",Sun Mar 02 11:52:01 +0000 2025,1727243708272443392,TakbagusM46168,"Gw masih inget bgt Bunda Dorce wara wiri di TVRI tahun 90an di acara2 kuis. Sdgkan di jaman yg sama, US menganggap trans presence di TV itu masih tabu. Indonesia dr yg lumayan socially progressive jadi backwarded sejak tahun 2000an.",,1522,6774.0,iya,negatif,kecewa,kritik,"program_non_olahraga,citra_dan_audiens",mengulas kiprah bunda dorce di tvri 90an dan menyorot perubahan sosial
