kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1852950605725098304,1852949831473606982,@razkaws MASK juga tvri yak,Sun Nov 03 05:47:05 +0000 2024,1635747500081680385,razkaws,"@sicupuh iya

friday the 13 dong 😆😆 tvri pas malem..",1852949831473606982,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia menonton film friday the 13 di tvri pada malam hari
commentar,1852949831473606982,1852948449521803367,@sicupuh keknya tvri deh,Sun Nov 03 05:44:00 +0000 2024,70292309,sicupuh,@razkaws MASK juga tvri yak,1852948449521803367,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia dengan penayangan serial mask di tvri
commentar,1852949179947188550,1852947646358622498,Dulu thunderbirds tayangnya di tvri apa rcti ya? 🤔,Sun Nov 03 05:41:25 +0000 2024,1050647249640808454,putramastaka,@sicupuh TVRI... barengan silver hawk &amp; He-Man,1852947646358622498,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia dengan tayangan silver hawk dan he man yang dulu disiarkan tvri
commentar,1852948449521803367,1852947646358622498,Dulu thunderbirds tayangnya di tvri apa rcti ya? 🤔,Sun Nov 03 05:38:31 +0000 2024,1635747500081680385,razkaws,@sicupuh keknya tvri deh,1852947646358622498,0,,iya,positif,senang,nostalgia,program_non_olahraga,mengonfirmasi bahwa serial thunderbirds pernah tayang di tvri
retweet,1852947646358622498,1852782791903388128,"Tomorrow I finally go and collect this big bugger.
All six foot of her 😳
It has been a logistical nightmare. Still worth it, though https://t.co/ICOZmX63R8",Sun Nov 03 05:35:19 +0000 2024,70292309,sicupuh,Dulu thunderbirds tayangnya di tvri apa rcti ya? 🤔,,0,,iya,netral,bingung,pertanyaan,program_non_olahraga,bertanya apakah serial thunderbirds dulu tayang di tvri atau rcti
tweet,1852945058263429540,,,Sun Nov 03 05:25:02 +0000 2024,1365198958822236166,kipnaganraya1,"#TemanPemilih, simak dan saksikan siaran langsung Debat Publik Antar Pasangan Calon Bupati dan Wakil Bupati Nagan Raya Tahun 2024 pada Kamis, 7 November 2024 melalui TVRI Aceh  Digital  DVBT2 Satelit Telkom 4 dan YouTube resmi KIP Kabupaten Nagan Raya,  mulai pukul 09.00 WIB https://t.co/H6zlC2o6D5",,0,,iya,positif,none,promosi,"konten_berita,platform_digital",mempromosikan debat publik nagan raya yang disiarkan di tvri aceh digital dan youtube kip
retweet,1852934607903326348,1852927956974281154,"Jadwal voli hari ini

#LivoliDivisiUtama2024
Perebutan ranking dan juara
Mulai 11.00 WIB, live @mojiupdates, vidio, volitv

#SVLeague
Rivan bersama Wolfdogs, 11.05 WIB di VBTV

#KoreanVLeague
Mega bersama Red Sparks, 14.00 WIB di TVRI Sport https://t.co/FgQz8TPgsH",Sun Nov 03 04:43:31 +0000 2024,74453181,rifkidya,"Yaampun ini poster resmi TVRI? Itu pemain Hipass sebelum Mega masuk kayanya, Khat Bell 😂 
Emang fixed kureng bgt soal begini2an tv jadul satu ini 😂",,0,,iya,negatif,kesal,kritik,citra_dan_audiens,mengkritik poster resmi tvri yang dinilai kurang menarik dan terkesan jadul
commentar,1852934064975855679,1852928535574515880,@AREMA1986Merch Hahhaa bener bes,Sun Nov 03 04:41:21 +0000 2024,774403533122580480,AREMA1986Merch,"@pecutpecutan Tahun Piro Iku Ndik TVRI, Jaman'e Film G-Force, Flash Gordon, Phantom, He-Man, Galaxy Rangers...",1852928535574515880,0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia dengan deretan film klasik seperti g force dan he man di tvri
commentar,1852929947054002451,1852929927827603693,"Dok. 3 Apr 2018
&gt; IHPS II th 2017
&gt; 4.430 temuan tdpt 5.852 mslh: 
- 1.082 (19%) SPI
- 1.950 (33%) ketidakpatuhan thd perundang-undangan senilai Rp10,56 triliun
- 2.820 (48%) ketidakhematan, ketidakefisienan &amp; ketidakefektifan senilai Rp2,67 triliun
🤔
https://t.co/efVu55GQr6 https://t.co/t8JVt88v89",Sun Nov 03 04:24:59 +0000 2024,46523425,shintaeffendi,"Dok 31 mei 2018
Contoh lain WTP
&gt; LHP LKPP 87 LapKeu Kemen/Lmbg (LKKL) &amp; 1 LapKeu Bendahara Umum Neg (LKBUN)
&gt; WTP  79 LKKL &amp; 1 LKBUN 
&gt; WDP 6 LKKL: Kemenhan, Kemenpora, KomnasHAM, Bapeten, LPP TVRI &amp; LPP RRI.
&gt; u/KPP &amp; Bakamla: Tidak Menyatakan Pendapat
https://t.co/Ysu9V83oCv https://t.co/DwhM7EMoeG",1852929927827603693,0,,iya,netral,none,informasi,kebijakan_lembaga,memberi informasi bahwa laporan keuangan lpp tvri mendapat opini wdp dari bpk
tweet,1852927956974281154,,,Sun Nov 03 04:17:05 +0000 2024,1649743417600266240,volleyballidn,"Jadwal voli hari ini

#LivoliDivisiUtama2024
Perebutan ranking dan juara
Mulai 11.00 WIB, live @mojiupdates, vidio, volitv

#SVLeague
Rivan bersama Wolfdogs, 11.05 WIB di VBTV

#KoreanVLeague
Mega bersama Red Sparks, 14.00 WIB di TVRI Sport https://t.co/FgQz8TPgsH",,15,59.0,iya,netral,none,informasi,program_olahraga,memberi jadwal siaran liga voli yang mencantumkan penayangan di tvri sport
