kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1843013405436944630,1430001855879254017,"#TahukahAnda bahwa Televisi Republik Indonesia (TVRI) dibentuk sebagai proyek media massa televisi untuk Asian Games IV di Jakarta.

TVRI mengudara pertama kali pada 24 Agustus 1962 dengan acara siaran langsung upacara pembukaan Asian Games IV. https://t.co/R34mVvLloF",Sun Oct 06 19:40:12 +0000 2024,770747491360866304,aleraimundosdes,@idwiki TVRI udah ada dari jaman Asian Games IV ya. Gak nyangka udah sejak 1962!,1430001855879254017,0.0,,iya,positif,bangga,informasi,citra_dan_audiens,menyebut tvri berdiri sejak asian games iv 1962 sebagai kebanggaan sejarah
retweet,1842985704605057051,1842718821087654217,vibes siang-siang pas pulang sekolah https://t.co/SFYBAhXotr,Sun Oct 06 17:50:07 +0000 2024,70079008,AliaRachma,"Si Unyilku itu hari Minggu di TVRI
Unyil kuciiiiiiing....
Yha, aku anak lama 😂",,0.0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia menonton si unyil di tvri hari minggu
commentar,1842941730032947700,1842349134231310468,"CATATAN KRITIS PENDIDIKAN INDONESIA
Oleh : dr. GAMAL (Anggota DPR RI)

Sistem pendidikan yang efektif akan membentuk SDM unggul. SDM Unggul akan mewujudkan negara maju. SDM yang berkualitas dan produktif akan memperkuat pertumbuhan ekonomi. Lalu, bagaimana sistem pendidikan kita hari ini? Numbers never lie. Mari kita lihat angka-angkanya.

1. HASIL PISA TERENDAH SEPANJANG SEJARAH INDONESIA MENGIKUTI PISA
Capaian nilai PISA kita tertinggal jauh dari rata-rata negara OECD dan ASEAN. Skor membaca 356 jauh dibawah target RPJMN 392. Skor matematika 366  jauh dibawah target RPJMN 392. Skor sains 383  jauh dibawah target RPJMN 402. Tahun 2022, Indonesia peringkat 69 dari 81 negara. Jika kita membuat proyeksi skor Indonesia dan merujuk pada rata-rata neagra OECD, maka kita bisa mencapai rata-rata skor OECD pada tahun 2089 untuk literasi dan 2063 untuk numerasi.

2. TINGKAT KESEJAHTERAAN GURU YANG SANGAT RENDAH
Merujuk pada laporan IDEAS pada Mei 2024, 42% guru dan 74% guru honorer memiliki penghasilan di bawah 2 juta rupiah, serta 13% guru dan 20,5% guru honorer memiliki penghasilan di bawah 500rb. 89% guru merasa penghasilan mereka pas-pasan atau kurang untuk memenuhi kebutuhan hidup mereka. 55,8% guru memiliki pekerjaan sampingan, serta 79,8% guru memiliki hutang. Kita juga dikejutkan oleh riset NoLimit yang mengatakan 42% masyarakat yang terjerat pinjol ilegal berprofesi sebagai guru.

Jika kita bandingkan dengan negara ASEAN, maka rata-rata terendah gaji guru dengan menggunakan perbandingan Purchasing Power Parity, maka Indonesia 2,4 juta, Malaysia 5,54 juta, Filipina 6,97 juta, Thailand 9,52 juta, serta Singapura 11,93 juta.

Bahkan jika kita bandingkan dengan gaji negara-negara OECD, guru SD di Australia memiliki penghasilan 620-883 juta per tahun, guru SMP di Belanda memiliki penghasilan 606 juta hingga 1,06 milyar per tahun, serta gaji guru SMA di Prancis memiliki penghasilan 454-550 juta per tahun.

Yang perlu kita apresiasi bersama, 93,5% guru mengatakan akan terus mengajar hingga pensiun. Jika kesejahteraan guru masih minim, bagaimana mereka bisa mengajar dengan tenang tatkala hutang membebani dan keperluan rumah tangga belum terpenuhi.

3. 71% ANAK-ANAK INDONESIA MEMILIKI FIXED MINDSET
Dalam laporan PISA 2018, menyatakan mayoritas siswa di negara OECD memiliki mindset berkembang. Hasil kuisioner dalam angket mereka tidak setuju atau sangat tidak setuju dengan pernyataan ""Kecerdasan seseorang merupakan sesuatu yang tidak dapat diubah"".

Sedangkan di Indonesia hanya 29% anak-anak Indonesia yang memiliki growth mindset. Sebagian besar, 71%, masih menganggap bahwa kecerdasannya tak bisa diubah. Anggapan tersebut mempengaruhi mindset yang akan mengantarkan pada perilaku dan hasil yang berbeda dalam hal pengembangan diri secara signifikan.

4. AKSES PENDIDIKAN TINGGI TERBATAS
Angka Partisipasi Kasar (APK) perguruan tinggi tidak pernah melampaui target renstra Kemendikbudristek dan jauh dari target RPJMN. Capaian APK PT tahun 2023 adalah 31,45% dimana Target renstra Kemendikbud adalah 36,64%. Padahal kita memiliki target APK PT tahun 2035 adalah 45% dan 2045 dalah 60%. Jika kita bandingkan dengan negara tetangga, Malaysia memiliki APK PT 43%, Thailand 49,29%, dan singapura 91,09%.

Selain itu ada disparitas yang tinggi antara kelompok pengeluaran terendah dan tertinggi. Masyarakat dengan ekonomi baik mampu mencapai angka 52,65% dan masyarakat dengan kelas ekonomi terendah hanya 17,54% yang berkesempatan kuliah.

5. KRISIS LITERASI
UNESCO menilai minat baca Indonesia memprihatinkan, dari 1.000 orang Indonesia hanya 1 yang rajin membaca. Penelitian World's Most Literate Nation Ranking oleh CCSU menyatakan Indonesia peringkat 60 dair 61 negara untuk minat baca.

6. KRISIS NUMERASI
Berbagai asesmen menunjukkan stagnansi atau kemajuan yang lambat kemampuan numerasi. Hasil tes IFLS menunjukkan rendahnya probabilitas siswa usia sekolah dalam penguasaan materi perhitugan dasar. Kemudian kenaikan jenjang pendidikan tidak menaikkan kemampuan literasi secara signifikan. Misalkan dalam tes IFLS anak kelas 1 mendapatkan skor 26,5% dan anak kelas 12 mendapat skor 38,7%. Jadi, walaupun siswa tersebut naik kelas, peningkatan kemampuan siswa antara jenjang satu dengan jenjang berikutnya tidak memiliki kenaikan yang signifikan.

7. MISMATCH BAKAT, PENDIDIKAN, DAN PEKERJAAN
Berdasar penelitian Indonesia Career Center Network (ICCN), 87% mahasiswa di indonesia salah jurusan dan 71,7% pekerja memiliki profesi yang tidak sesuai pendidikannya. Oleh karena itu, penting design kurikulum untuk memberikan kesempatan anak mengeksplorasi minat dan bakatnya.

8. LULUSAN SMK PALING BANYAK MENGANGGUR
Lulusan SMK menjadi menjadi penyubang terbesar pengangguran terbuka. Kita butuh link and match antara dunia pendidikan dan kebutuhan pasar. Kita juga harus melatih skill-skill yang dibutuhkan di dunia kerja ke depan, sesuai rekomendasi World Economic Forum misalkan, analytical thinking, creative thinking, serta resiliensi, fleksibilitas, dan agility.

9. GAP BESAR ANTARA RATA-RATA LAMA SEKOLAH (RLS) DENGAN HLS (HARAPAN LAMA SEKOLAH)
Laporan BPS menunjukkan HLS Indonesia adalah 13,15 tahun. Artinya anak-anak yang berusia 7 tahun memiliki harapan pendidikan sampai jenjang Diploma 1. Saat ini RLS (Rata-Rata Lama Sekolah) pelajar Indonesia adalah 8,77. Artinya penduduk yang berusia 25 tahun telah menempuh pendidikan hingga SMP kelas 9. Hal ini menunjukkan RLS lebih rendah 4,38 tahun dari HLS (Harapan Lama Sekolah).

Oleh karena itu, kita harus melakukan beberapa solusi strategis :
1. Memprioritaskan peningkatan kemampuan  literasi dan numerasi,
2. Memberikan dukungan kesejahteraan dan peningkatan kualitas guru,
3. Realokasi anggaran fokus pada peningkatan kualitas pendidikan berbasis indikator kinerja pendidikan.

Saya memiliki ide dan mimpi, bagaimana kita mampu menghadirkan program 1 desa 10 mahasiswa. 10 mahasiswa ini harus kembali untuk membangun desanya. Dengan begitu akan terjadi akselerasi peningkatan kualitas SDM yang merata yang berdampak pada pertumbuhan dan perkembangan desa. Desa-desa yang unggul akan mewujudkan kota/kabupaten unggul. Kota/Kabupaten unggul akan mewujudkan Indonesia unggul.",Sun Oct 06 14:55:23 +0000 2024,289841111,membrane_bakar,"@Gamal_Albinsaid Media online konten banyak yang tidak terdidik, efeknya pasti panjang generasi emas 2045? 
1. Bangunkan TVRI sebagai media budaya , literasi , dan cerita daerah 
2. Tiap desa 50 anak kuliah harus fokus, batasi wktu scroll tiktok, IG atau medsos lainya . Harus idealis",1842349134231310468,0.0,,iya,positif,bangga,saran,kebijakan_lembaga,menyarankan tvri difungsikan sebagai media budaya dan literasi
commentar,1842925176302018596,1842923494520369616,"@bantinxtulanx Jelas kok itu. Dulu kan ada ‘Dunia Dalam Berita’ — nasional harian yg jadi ruang wacana dan wawasan. 

Sekarang, TV ambil Yutub, yg ‘newsroom’ merujuk Tiktok. Media Islam NU saja cuma menerjemahkan Juru Bicara IDF. 

Memang cuma bebek, bukan jurnalistik.",Sun Oct 06 13:49:36 +0000 2024,1078958972969705472,bantinxtulanx,"@_haye_ Soal ""dunia dalam berita"" ini sudah dimulai pakai niat lebih advance sih lewat TVRI World sejak 2021 launching. Cuma ya emang terasa sekali kurang punya tenaga. Mau rebranding tapi yg justru terasa logo TVRI konsepnya jiplak logo DW. 😢",1842923494520369616,0.0,,iya,negatif,sedih,kritik,"konten_berita,citra_dan_audiens",mengkritik rebranding tvri world yang dianggap lemah dan logo mirip dw
commentar,1842895439986938179,1842763306127560739,"Sepak takraw apa ada kompetisi yang dikelola secara profesional di Indonesia? Oh, rak ono, cok. Mereka berjuang sendiri, berlatih sendiri, ikut kejuaraan daerah (PORPROV) dan kejuaraan nasional (PON).
-------- (sebuah thread) -------",Sun Oct 06 11:51:26 +0000 2024,113820770,tamanunyil,"@AndrianDA15 Sering nonton kanal TVRI Sports, pernah nyiarin liga sepak takraw di Malaysia. Kemasannya ga ala kadarnya, penonton rame, komentator serius, mungkin setara kelas liga voli di sini.",1842763306127560739,0.0,1.0,iya,positif,senang,pujian,program_olahraga,memuji siaran liga sepak takraw di tvri sports dengan kemasan serius
commentar,1842893622473376092,1842893214770172157,@freysjelfjh Haaa.. kecil2 nonton film horor 😂,Sun Oct 06 11:44:13 +0000 2024,1429339074939133952,freyelfwzn,"@5Sarry_Elfish5 Kayaknya aku dulu tuh sering nonton yg ga pas ratingnya 😭😭😭
Ya kali piyek nonton telenovela juga wokwokwok. 
Tp yg di TVRI tuh aku masih inget, kebangun malem2 krn berisik, tetangga ada apa gtlah. Hajatan atau apa lupa. Alm nenek nonton TV, aku ikutan",1842893214770172157,0.0,,iya,positif,senang,nostalgia,program_non_olahraga,nostalgia menonton telenovela di tvri saat kecil
commentar,1842891790426513431,1842883722456301682,"@freysjelfjh Iya itu, serem yak 😄",Sun Oct 06 11:36:56 +0000 2024,1429339074939133952,freyelfwzn,@5Sarry_Elfish5 Mana abis nonton film horor di TVRI yg bonekanya idup pula waktu itu,1842883722456301682,0.0,,iya,netral,none,nostalgia,program_non_olahraga,nostalgia menonton film horor di tvri dengan boneka hidup
tweet,1842888711278579976,,,Sun Oct 06 11:24:42 +0000 2024,607134258,hhnni_,"Min @TVRINasional tolong tanyain ke tvri sport, apa nayangin japan v league??",,0.0,,iya,netral,bingung,pertanyaan,program_olahraga,menanyakan apakah tvri sport menayangkan japan v league
tweet,1842887541663650238,,,Sun Oct 06 11:20:03 +0000 2024,1423948036544241673,mat_awan,Yak ternyata tidak disiarkan TVRI Sprot Final Beijing WTA Seceng nya. Tokai,,0.0,1.0,iya,negatif,kesal,kritik,program_olahraga,mengkritik tvri sport tidak menyiarkan final wta beijing
commentar,1842840806400643140,1842835028398457270,akhirnya my idol dapat menit bermain🥰 https://t.co/sda36XKkPw,Sun Oct 06 08:14:21 +0000 2024,947092076,Iksn1412,"@unmagnetism Tvri sport ga nyiarin, malah nyiarin balap dayung kocak",1842835028398457270,0.0,2.0,iya,negatif,kesal,kritik,program_olahraga,kesal karena tvri sport menayangkan balap dayung bukan pertandingan idola
