kind,tweet_id,parent_tweet_id,parent_tweet_text,created_at,user_id,user_screen_name,text,in_reply_to_id,retweet_count,favorite_count,relevan,sentimen,emosi,intensi,aspek,alasan
commentar,1831694426810483138,1831137539866141137,Ada tanda-tanda Serie A akan segera bisa dinikmati Publik Nusantara secara Legal setelah pekan ke 4 https://t.co/liDPyjsdZD,Thu Sep 05 14:02:37 +0000 2024,322067645,Bayu_Xbrains,"@MafiaWasit semoga hak siarnya balik ke TVRI.. yg gak pelit tayangan, mau primetime match atau gak tetap disiarin. gak pilah pilih",1831137539866141137,0,,iya,positif,senang,dukungan,program_olahraga,dukungan agar hak siar serie a kembali ke tvri yang menayangkan semua pertandingan tanpa pilih primetime
tweet,1830458139084538259,,,Mon Sep 02 04:10:03 +0000 2024,1552273143213215746,HumasPolsek03,Karyawan TVRI Jawa Barat kecamatan  Bojongloa kidul  Siap Mendukung TNI/POLRI untuk menciptakan Kota Bandung aman dan kondusif Menjelang Pilkada 2024 https://t.co/aqvuCRNfGg,,0,,iya,positif,bangga,dukungan,staf_internal,karyawan tvri jabar menyatakan dukungan untuk menjaga keamanan menjelang pilkada
tweet,1833138807065157638,,,Mon Sep 09 13:42:04 +0000 2024,1698929639799062528,imrohima98,"Rcti+ pake iklan, pas udah mulai nab nya udahan, kecewa sih. Enak tadi nonton di tvri, no iklan iklan",,0,,iya,positif,senang,perbandingan,"program_olahraga,iklan",membandingkan siaran olahraga tvri tanpa iklan dengan rcti+ yang menampilkan iklan
komentar,1837126334851731621,1837094527578034311,"— ‼️ INFO LIVE
Closing Ceremony PON XXI Aceh - Sumut

Jum’at, 20 September 2024
Pukul 20.00 WIB

📌 disiarkan secara LIVE:
iNews TV dan TVRI

📌 LIVE STREAMING:
Vision+ dan YouTube Kemenpora RI

#RonyParulianAtPONXXI",Fri Sep 20 13:47:05 +0000 2024,1704836381930053632,calblendfloat,"@bchrna joooo kira"" Rony jamber ya?mata gua dh mau copot 
#RonyParulianAtPONXXI",,24,87.0,iya,netral,none,pertanyaan,program_non_olahraga,bertanya tentang penampilan penyanyi di acara penutupan pon xxi yang juga disiarkan tvri
komentar,1836129290389487869,1836129278821646356,"Setidaknya dr masa mrk sdh ntn timnas di tvri.
Bbrp nama yg msh ingat yg sempat keluar - masuk timnas (diluar poto ini - kalo ga salah) spt Robby Darwis, Sobur, Widodo CP, Ansyari Lubis, Fachri Husaini, Ricky Yacobi,dkk. 😁🇮🇩 @TimnasIndonesia @UpdateBolabola https://t.co/Ribu7dGeWV",Tue Sep 17 19:45:11 +0000 2024,4611151032,budicahyadi168,"Menang atau blm menang dr dulu s/d sekarang dan selamanya tetep dukung timnas 🇮🇩💪😁

Feeling saya timnas Indonesia lolos pildun 2026 dan se-group sm timnas pusat.. 😍😁🤲",,0,,iya,positif,senang,nostalgia,program_olahraga,nostalgia menonton pertandingan timnas di tvri sejak lama
commentar,1836033595338903820,1835691524379779491,"BREAKING: Tidak ada TV Nasional yang memegang hak siar Champions League musim 2024/25.

😭😭
https://t.co/hARYrc70U3",Tue Sep 17 13:24:55 +0000 2024,85806404,bolukukuus,@gilabola_ina Tolong dong TVRI aja yg nyiarin...@TVRINasional,1835691524379779491,0,,iya,positif,senang,saran,program_olahraga,memberi saran agar tvri menayangkan liga champions musim baru karena belum ada pemegang hak siar
commentar,1833773053861609829,1833377717016006922,"Asal Mula Tembok Berlin

Setelah Perang Dunia II, Jerman dibagi menjadi dua negara: Jerman Barat (Republik Federal Jerman), yang bersekutu dengan Amerika Serikat dan negara-negara kapitalis, serta Jerman Timur (Republik Demokratik Jerman), yang berada di bawah pengaruh Uni Soviet. Kota Berlin, meskipun berada di dalam wilayah Jerman Timur, juga terbagi menjadi dua bagian: Berlin Barat dan Berlin Timur.",Wed Sep 11 07:42:20 +0000 2024,739948478760124416,mario_an19,@_iamrobot_ dulu pas runtuh d siarkan d tvri jam 9 an malam,1833377717016006922,0,,iya,positif,senang,nostalgia,konten_berita,nostalgia menonton berita runtuhnya tembok berlin yang disiarkan tvri malam hari
tweet,1837161739840016641,,,Fri Sep 20 16:07:46 +0000 2024,1494652811895664643,pakde_lukm4n,"@Dedi_Ari23 @luqmannyamiin Ga lah, dari tahun 90 an, kita sudah menjalin kerjasama dalam seni dan budaya. Dulu di TVRI dan TV3 ada acara ""Senada Seirama"" di Indonesia atau disebut "" Titian Muhibah"" di Malaysia. Yg disiarkan bareng di dua negara untuk mempererat kerjasama negara serumpun",,0,2.0,iya,positif,senang,nostalgia,program_non_olahraga,mengenang acara senada seirama atau titian muhibah yang disiarkan bersama tvri dan tv3
komentar,1837142164637372816,1837138338039615852,"Siaran Langsung Pembukaan Erau 2024, disiarkan langsung dari Stadion Rondong Demang Tenggarong melalui:

•TVRI Kaltim (audiovisual)
•Youtube Prokom Kukar (audiovisual)
•RPK Tenggarong (audio)

*ngan Channel Etam mun maseh ada hak. 🗿 https://t.co/xKe1WienpU",Fri Sep 20 14:49:59 +0000 2024,1685271313,Carnationisme,"@txtdaritrg Iyaaa dulu nonton erau selalu di chanel etam, soalnya mager pas erau pasti panas beneh",,2,3.0,iya,netral,none,informasi,program_non_olahraga,informasi tentang siaran langsung pembukaan erau 2024 yang juga ditayangkan tvri kaltim
commentar,1836308168768655473,1836288799279845416,"Hezzbollah pesen ribuan unit pager ke sebuah perusahaan di Taiwan. Israel yang tau soal pesanan ini kemudian ""menyabotase"" unit2 Pager itu untuk disusupi sirkuit dan peledak kecil, dan bisa diaktivasi sewaktu2 dari jarak jauh. Begitukah?",Wed Sep 18 07:35:59 +0000 2024,1528618615,yogya_serviceAC,"@rasjawa Jadi ingat film ""Munich"", tapi bom telepon.. Padahal dulu jaman PLO, pejuang palestina paling sering bikin bom bunuh diri, sekarang nyaris gk ada lagi.. Termasuk yang di Libanon setelah peristiwa Saba dan Satila ( Generasi 'Dunia Dalam Berita' TVRI)",1836288799279845416,0,,iya,netral,none,nostalgia,konten_berita,nostalgia menyebut generasi dunia dalam berita tvri saat membicarakan peristiwa internasional
tweet,1836129278821646356,,,Tue Sep 17 19:45:08 +0000 2024,4611151032,budicahyadi168,"Setidaknya dr masa mrk sdh ntn timnas di tvri.
Bbrp nama yg msh ingat yg sempat keluar - masuk timnas (diluar poto ini - kalo ga salah) spt Robby Darwis, Sobur, Widodo CP, Ansyari Lubis, Fachri Husaini, Ricky Yacobi,dkk. 😁🇮🇩 @TimnasIndonesia @UpdateBolabola https://t.co/Ribu7dGeWV",,0,,iya,positif,senang,nostalgia,program_olahraga,nostalgia menonton timnas indonesia di tvri dan mengingat beberapa nama pemain lama
komentar,1836129281166184535,1836129278821646356,"Setidaknya dr masa mrk sdh ntn timnas di tvri.
Bbrp nama yg msh ingat yg sempat keluar - masuk timnas (diluar poto ini - kalo ga salah) spt Robby Darwis, Sobur, Widodo CP, Ansyari Lubis, Fachri Husaini, Ricky Yacobi,dkk. 😁🇮🇩 @TimnasIndonesia @UpdateBolabola https://t.co/Ribu7dGeWV",Tue Sep 17 19:45:08 +0000 2024,4611151032,budicahyadi168,"Bambang Nurdiansyah, Rully Nere, Hermansyah, Heri Kiswanto lalu gen. primavera ada si Kurus Kurniawan DY, Aples, Kurnia Sandy s/d BP dkk.
Nyimak sampe pegel dualisme PSSI pernah dihajar Bahrain 10 - 0 dan nyaris juara AFF 2010, tetep dukung timnas.
🇮🇩 😁💪",,0,,iya,positif,senang,nostalgia,program_olahraga,nostalgia menonton timnas di tvri sambil menyebut pemain era lama dan pengalaman mendukung timnas
